chinese,chinese_tw,english,category,subcategory,notes
心园,心園,Heart Garden,sect,headquarters,Mystic Harmony Sect
诸隐山,諸隱山,Hidden Mountains,sect,headquarters,Returning Mystery Sect
大千光极城,大千光極城,Great Aurora City,sect,headquarters,Nightless City
浩然峰,浩然峰,Haoran Peak,sect,headquarters,Heavenly Vigor Sect
陷空山,陷空山,Sinking Void Mountain,sect,headquarters,Demon Devouring Sect
青云城,青雲城,Azure Cloud City,geography,city,
沙州城,沙州城,Sand State City,geography,city,
翠林城,翠林城,Emerald Forest City,geography,city,
沧澜城,滄瀾城,Azure Wave City,geography,city,
揽月城,攬月城,Moon Embrace City,geography,city,
平原地带,平原地帶,Plains,geography,region,
西域流沙,西域流沙,Western Desert,geography,region,
南疆蛮荒,南疆蠻荒,Southern Wilderness,geography,region,
极北冰原,極北冰原,Northern Glacier,geography,region,
无边碧海,無邊碧海,Endless Azure Sea,geography,region,
天河奔流,天河奔流,Heavenly River,geography,region,
青峰山脉,青峰山脈,Azure Peak Mountains,geography,region,
万丈雪峰,萬丈雪峰,Ten Thousand Zhang Snow Peaks,geography,region,
碧野千里,碧野千里,Thousand Li Grasslands,geography,region,
青云林海,青雲林海,Azure Cloud Forest Sea,geography,region,
炎狱火山,炎獄火山,Inferno Volcano,geography,region,
沃土良田,沃土良田,Fertile Farmlands,geography,region,
幽冥毒泽,幽冥毒澤,Netherworld Poison Marsh,geography,region,
十万大山,十萬大山,Hundred Thousand Mountains,geography,region,
紫竹幽境,紫竹幽境,Purple Bamboo Sanctuary,geography,region,
凛霜荒原,凜霜荒原,Frost Desolation,geography,region,
碎星戈壁,碎星戈壁,Shattered Star Gobi,geography,region,
蓬莱遗岛,蓬萊遺島,Penglai Remnant Isle,geography,region,
灵兔,靈兔,Spirit Rabbit,creature,beast,Qi Refinement
魔狼,魔狼,Demonic Wolf,creature,beast,Foundation
青云鹿,青雲鹿,Azure Cloud Deer,creature,beast,Qi Refinement
暗影豹,暗影豹,Shadow Leopard,creature,beast,Foundation
碧海龙龟,碧海龍龜,Azure Sea Dragon Turtle,creature,beast,Core
石甲山熊,石甲山熊,Stone Armor Mountain Bear,creature,beast,Foundation
风速马,風速馬,Wind Speed Horse,creature,beast,Qi Refinement
熔岩蜥蜴,熔岩蜥蜴,Lava Lizard,creature,beast,Foundation
毒瘴蛙,毒瘴蛙,Miasma Poison Frog,creature,beast,Foundation
撼地神牛,撼地神牛,Earth-Shaking Divine Bull,creature,beast,Core
冰魄骨蛇,冰魄骨蛇,Ice Soul Bone Serpent,creature,beast,Core
奇草,奇草,Wonder Grass,creature,plant,Qi Refinement
灵木,靈木,Spirit Wood,creature,plant,Foundation
沙漠仙人掌,沙漠仙人掌,Desert Immortal Cactus,creature,plant,Qi Refinement
寒霜雪莲,寒霜雪蓮,Frost Snow Lotus,creature,plant,Foundation
水灵芝,水靈芝,Water Spirit Mushroom,creature,plant,Foundation
雪绒花,雪絨花,Snow Velvet Flower,creature,plant,Qi Refinement
千年古松,千年古松,Millennial Ancient Pine,creature,plant,Foundation
五谷灵稀,五穀靈稀,Five Grain Spirit Rice,creature,plant,Qi Refinement
九曲清音竹,九曲清音竹,Nine Curve Pure Sound Bamboo,creature,plant,Core
聚星草,聚星草,Star Gathering Grass,creature,plant,Core
涅盘赤果,涅盤赤果,Nirvana Crimson Fruit,creature,plant,Nascent
玄铁矿脉,玄鐵礦脈,Black Iron Vein,resource,mine,Qi Refinement
赤铜矿脉,赤銅礦脈,Red Copper Vein,resource,mine,Foundation
秘银矿床,秘銀礦床,Mithril Deposit,resource,mine,Core
庚金矿洞,庚金礦洞,Geng Metal Cave,resource,mine,Nascent
灵兔毛,靈兔毛,Spirit Rabbit Fur,material,beast,Qi Refinement
魔狼牙,魔狼牙,Demonic Wolf Fang,material,beast,Foundation
青云鹿角,青雲鹿角,Azure Cloud Deer Antler,material,beast,Qi Refinement
暗影豹爪,暗影豹爪,Shadow Leopard Claw,material,beast,Foundation
龙龟甲片,龍龜甲片,Dragon Turtle Shell Fragment,material,beast,Core
山熊胆,山熊膽,Mountain Bear Gallbladder,material,beast,Foundation
风速马鬃,風速馬鬃,Wind Speed Horse Mane,material,beast,Foundation
熔岩鳞片,熔岩鱗片,Lava Lizard Scale,material,beast,Core
毒瘴囊,毒瘴囊,Miasma Poison Sac,material,beast,Foundation
神牛角,神牛角,Divine Bull Horn,material,beast,Core
冰魄蛇胆,冰魄蛇膽,Ice Soul Serpent Gallbladder,material,beast,Core
奇草精华,奇草精華,Wonder Grass Essence,material,plant,Qi Refinement
灵木心,靈木心,Spirit Wood Heart,material,plant,Foundation
仙人掌刺,仙人掌刺,Immortal Cactus Spine,material,plant,Qi Refinement
雪莲花瓣,雪蓮花瓣,Snow Lotus Petal,material,plant,Foundation
灵芝孢子,靈芝孢子,Spirit Mushroom Spore,material,plant,Foundation
雪绒花蕊,雪絨花蕊,Snow Velvet Flower Stamen,material,plant,Qi Refinement
古松松脂,古鬆鬆脂,Ancient Pine Resin,material,plant,Core
灵稻精华,靈稻精華,Spirit Rice Essence,material,plant,Qi Refinement
清音竹节,清音竹節,Pure Sound Bamboo Section,material,plant,Core
星纹叶,星紋葉,Star Pattern Leaf,material,plant,Foundation
赤果核,赤果核,Crimson Fruit Pit,material,plant,Core
玄铁,玄鐵,Black Iron,material,mineral,Qi Refinement
赤精铜,赤精銅,Crimson Essence Copper,material,mineral,Foundation
秘银,秘銀,Mithril,material,mineral,Core
庚金,庚金,Geng Metal,material,mineral,Nascent
太白金府,太白金府,Taibai Metal Palace,geography,cave,Metal element
青木洞天,青木洞天,Verdant Wood Grotto,geography,cave,Wood element
玄水秘境,玄水秘境,Mystic Water Secret Realm,geography,cave,Water element
离火洞府,離火洞府,Departing Fire Cave Dwelling,geography,cave,Fire element
厚土玄宫,厚土玄宮,Thick Earth Mystery Palace,geography,cave,Earth element
古越遗迹,古越遺蹟,Ancient Yue Ruins,geography,cave,Wood/Metal
沧海遗迹,滄海遺蹟,Azure Sea Ruins,geography,cave,Water
紫气东来,紫氣東來,Purple Qi from the East,event,celestial,R
金煞之年,金煞之年,Year of Metal Killing,event,celestial,R
木灵盛世,木靈盛世,Era of Wood Spirit Prosperity,event,celestial,R
水德之纪,水德之紀,Age of Water Virtue,event,celestial,R
火劫时代,火劫時代,Era of Fire Tribulation,event,celestial,R
土厚之世,土厚之世,Age of Thick Earth,event,celestial,R
五行逆乱,五行逆亂,Five Elements in Chaos,event,celestial,SR
天道均衡,天道均衡,Heavenly Dao Balance,event,celestial,SR
劫数将至,劫數將至,Tribulation Approaches,event,celestial,SR
灵气复苏,靈氣復甦,Spiritual Energy Revival,event,celestial,SSR
灵气枯竭,靈氣枯竭,Spiritual Energy Depletion,event,celestial,R
魔道兴盛,魔道興盛,Demonic Path Ascendant,event,celestial,R
正气浩然,正氣浩然,Righteous Qi Flourishing,event,celestial,R
神兵出世,神兵出世,Divine Weapons Emerge,event,celestial,SR
阴阳交泰,陰陽交泰,Yin-Yang Harmony,event,celestial,R
杀劫降临,殺劫降臨,Killing Tribulation Descends,event,celestial,SR
太平盛世,太平盛世,Era of Great Peace,event,celestial,R
气运加身,氣運加身,Fortune Bestowed,event,celestial,R
血月当空,血月當空,Blood Moon Rises,event,celestial,SR
飞升之门,飛昇之門,Gate of Ascension,event,celestial,SSR
法则显化,法則顯化,Laws Manifest,event,celestial,SSR
时空乱流,時空亂流,Spacetime Turbulence,event,celestial,SSR
生命恢复速率,生命恢復速率,HP Recovery Rate,effect,,extra_hp_recovery_rate
最大生命值,最大生命值,Max HP,effect,,extra_max_hp
最大寿元,最大壽元,Max Lifespan,effect,,extra_max_lifespan
兵器熟练度获取,兵器熟練度獲取,Weapon Proficiency Gain,effect,,extra_weapon_proficiency_gain
双修经验,雙修經驗,Dual Cultivation Experience,effect,,extra_dual_cultivation_exp
突破成功率,突破成功率,Breakthrough Success Rate,effect,,extra_breakthrough_success_rate
奇遇概率,奇遇概率,Fortune Probability,effect,,extra_fortune_probability
霉运概率,黴運概率,Misfortune Probability,effect,,extra_misfortune_probability
采集获取材料,採集獲取材料,Harvest Material Bonus,effect,,extra_harvest_materials
狩猎获取材料,狩獵獲取材料,Hunt Material Bonus,effect,,extra_hunt_materials
挖矿获取材料,挖礦獲取材料,Mining Material Bonus,effect,,extra_mine_materials
物品出售价格,物品出售價格,Item Sell Price,effect,,extra_item_sell_price_multiplier
购买折扣,購買折扣,Purchase Discount,effect,,shop_buy_price_reduction
兵器升级概率,兵器升級概率,Weapon Upgrade Chance,effect,,extra_weapon_upgrade_chance
搜刮收益,搜刮收益,Plunder Multiplier,effect,,extra_plunder_multiplier
捕捉灵兽成功率,捕捉靈獸成功率,Beast Capture Success Rate,effect,,extra_catch_success_rate
修炼经验,修煉經驗,Cultivation Experience,effect,,extra_respire_exp
战力点数,戰力點數,Combat Power Points,effect,,extra_battle_strength_points
逃跑成功率,逃跑成功率,Escape Success Rate,effect,,extra_escape_success_rate
暗杀成功率,暗殺成功率,Assassination Success Rate,effect,,extra_assassinate_success_rate
感知范围,感知範圍,Observation Radius,effect,,extra_observation_radius
移动步长,移動步長,Movement Range,effect,,extra_move_step
特殊能力,特殊能力,Special Abilities,effect,,legal_actions
伤害减免,傷害減免,Damage Reduction,effect,,damage_reduction
境界压制,境界壓制,Realm Suppression,effect,,realm_suppression_bonus
修炼时长缩减,修煉時長縮減,Cultivation Duration Reduction,effect,,respire_duration_reduction
铸造成功率,鑄造成功率,Forging Success Rate,effect,,extra_cast_success_rate
炼丹成功率,煉丹成功率,Alchemy Success Rate,effect,,extra_refine_success_rate
自愈效率,自癒效率,Self-Heal Efficiency,effect,,extra_self_heal_efficiency
理性,理性,Rational,persona,basic,Logical thinking
无常,無常,Fickle,persona,basic,Unpredictable goals
怠惰,怠惰,Slothful,persona,basic,Lazy - avoids effort
冒险,冒險,Adventurous,persona,basic,Risk-taking
随性,隨性,Carefree,persona,basic,Goes with the flow
贪财,貪財,Greedy,persona,basic,Desires wealth
沉思,沉思,Contemplative,persona,basic,Deep thinker
惜命,惜命,Life-Cherishing,persona,basic,Values own life
友爱,友愛,Friendly,persona,basic,Values harmony
复仇,復仇,Vengeful,persona,basic,Seeks revenge
孤僻,孤僻,Reclusive,persona,basic,Prefers solitude
淡漠,淡漠,Indifferent,persona,basic,Emotionally detached
好斗,好鬥,Combative,persona,basic,Enjoys fighting
鲁莽,魯莽,Reckless,persona,basic,Acts without thinking
胆小,膽小,Timid,persona,basic,Avoids conflict
霸道,霸道,Domineering,persona,basic,Forceful - selfish
内向,內向,Introverted,persona,basic,Prefers self-reflection
外向,外向,Extroverted,persona,basic,Social - outgoing
刻薄,刻薄,Caustic,persona,basic,Sharp-tongued
热情,熱情,Enthusiastic,persona,basic,Warm and friendly
开放,開放,Open-minded,persona,basic,Casual about relationships
腼腆,靦腆,Shy,persona,basic,Reserved about relationships
嫉妒,嫉妒,Envious,persona,basic,Jealous of others
好色,好色,Lustful,persona,basic,Attracted to beauty
无欲,無慾,Ascetic,persona,basic,No worldly desires
情绪化,情緒化,Emotional,persona,basic,Mood swings
妒忌,妒忌,Jealous,persona,basic,Envious of success
采集者,採集者,Gatherer,persona,advanced,Bonus to herb gathering
猎人,獵人,Hunter,persona,advanced,Bonus to beast hunting
修行痴迷,修行痴迷,Cultivation Maniac,persona,advanced,Obsessed with training
舔狗,舔狗,Simp,persona,advanced,Overly nice to attractive people
极端正义,極端正義,Extreme Righteous,persona,advanced,Fanatical about justice
极端邪恶,極端邪惡,Extreme Evil,persona,advanced,Ruthless and cruel
心机深沉,心機深沉,Scheming,persona,advanced,Calculating and secretive
忠诚,忠誠,Loyal,persona,advanced,Never betrays
狠辣,狠辣,Ruthless,persona,advanced,Merciless
疑心重,疑心重,Suspicious,persona,advanced,Trusts no one
探险家,探險家,Explorer,persona,advanced,Loves discovering new places
死宅,死宅,Homebody,persona,advanced,Hates traveling
扫把星,掃把星,Jinxed,persona,advanced,Attracts misfortune
大器晚成,大器晚成,Late Bloomer,persona,advanced,Struggles early - thrives later
矿工,礦工,Miner,persona,advanced,Bonus to mining
苟,苟,Cautious,persona,advanced,Extremely risk-averse
穿越者,穿越者,Transmigrator,persona,legendary,From modern world
气运之子,氣運之子,Child of Destiny,persona,legendary,Heaven's chosen one
重生者,重生者,Reborn,persona,legendary,Lived a previous life
福缘深厚,福緣深厚,Blessed,persona,legendary,Natural good fortune
剑修,劍修,Sword Cultivator,persona,weapon,Sword specialist
剑痴,劍痴,Sword Fanatic,persona,weapon,Obsessed with swords
刀修,刀修,Saber Cultivator,persona,weapon,Saber specialist
刀痴,刀痴,Saber Fanatic,persona,weapon,Obsessed with sabers
枪修,槍修,Spear Cultivator,persona,weapon,Spear specialist
枪痴,槍痴,Spear Fanatic,persona,weapon,Obsessed with spears
棍修,棍修,Staff Cultivator,persona,weapon,Staff specialist
棍圣,棍聖,Staff Saint,persona,weapon,Staff master
扇修,扇修,Fan Cultivator,persona,weapon,Fan specialist
扇痴,扇痴,Fan Fanatic,persona,weapon,Obsessed with fans
鞭修,鞭修,Whip Cultivator,persona,weapon,Whip specialist
鞭痴,鞭痴,Whip Fanatic,persona,weapon,Obsessed with whips
暗器高手,暗器高手,Hidden Weapon Expert,persona,weapon,Hidden weapon specialist
刺客宗师,刺客宗師,Assassin Grandmaster,persona,weapon,Master assassin
音律大师,音律大師,Music Master,persona,weapon,Zither/flute specialist
炼丹师,煉丹師,Alchemist,persona,profession,Elixir crafting bonus
炼器师,煉器師,Artificer,persona,profession,Weapon crafting bonus
体修,體修,Body Cultivator,persona,profession,Physical cultivation
道侣,道侶,Dao Companion,relation,,Cultivation partner/spouse
师傅,師傅,Master,relation,,Teacher in cultivation
徒弟,徒弟,Disciple,relation,,Student of a master
父母,父母,Parent,relation,,
子女,子女,Child,relation,,
父亲,父親,Father,relation,,
母亲,母親,Mother,relation,,
儿子,兒子,Son,relation,,
女儿,女兒,Daughter,relation,,
兄弟姐妹,兄弟姐妹,Sibling,relation,,
哥哥,哥哥,Elder Brother,relation,,
弟弟,弟弟,Younger Brother,relation,,
姐姐,姐姐,Elder Sister,relation,,
妹妹,妹妹,Younger Sister,relation,,
朋友,朋友,Friend,relation,,
仇人,仇人,Enemy,relation,,Also: Foe
亲属,親屬,Kin,relation,,Extended family
上品,上品,Superior Grade,grade,,Also: High-grade
中品,中品,Medium Grade,grade,,Also: Mid-grade
下品,下品,Inferior Grade,grade,,Also: Low-grade
金刚不坏体,金剛不壞體,Indestructible Vajra Body,technique,inferior,Metal - Shaolin technique
长春功,長春功,Eternal Spring Art,technique,inferior,Wood - Basic longevity technique
若水诀,若水訣,Flowing Water Scripture,technique,inferior,Water - Soft and yielding
火灵诀,火靈訣,Fire Spirit Scripture,technique,inferior,Fire - Basic fire technique
搬山诀,搬山訣,Mountain Moving Scripture,technique,inferior,Earth - Strength technique
冰心诀,冰心訣,Ice Heart Scripture,technique,inferior,Ice - Calming technique
神行百变,神行百變,Divine Movement Hundred Changes,technique,inferior,Wind - Movement technique
敛息术,斂息術,Breath Concealment Art,technique,inferior,Dark - Stealth technique
掌心雷,掌心雷,Palm Thunder,technique,inferior,Thunder - Daoist technique
燃血大法,燃血大法,Blood Burning Art,technique,inferior,Evil - Temporary power boost
金钟罩,金鐘罩,Golden Bell Shield,technique,medium,Metal - Defensive technique
青帝木皇功,青帝木皇功,Azure Emperor Wood Sovereign Art,technique,medium,Wood - Wood element mastery
黑帝水皇拳,黑帝水皇拳,Black Emperor Water Sovereign Fist,technique,medium,Water - Water element mastery
纯阳无极功,純陽無極功,Pure Yang Limitless Art,technique,medium,Fire - Yang-based technique
不动明王诀,不動明王訣,Immovable Wisdom King Scripture,technique,medium,Earth - Buddhist technique
玄冰劲,玄冰勁,Profound Ice Force,technique,medium,Ice - Ice attack technique
梯云纵,梯雲縱,Cloud Ascending Steps,technique,medium,Wind - Wudang movement technique
鬼影迷踪,鬼影迷蹤,Ghost Shadow Trackless,technique,medium,Dark - Stealth movement
五雷正法,五雷正法,Five Thunder Righteous Method,technique,medium,Thunder - Orthodox thunder arts
吸星大法,吸星大法,Star Absorbing Art,technique,medium,Evil - Absorbs others' power
草字剑诀,草字劍訣,Grass Script Sword Scripture,technique,superior,Bright Heart - Legendary sword art
神剑御雷真诀,神劍御雷真訣,Divine Sword Thunder Control Scripture,technique,superior,Bright Heart - Thunder sword art
大河剑意,大河劍意,Great River Sword Intent,technique,superior,Bright Heart - Flowing sword art
青帝长生诀,青帝長生訣,Azure Emperor Longevity Scripture,technique,superior,Hundred Beasts - Wood longevity art
神象镇狱劲,神象鎮獄勁,Divine Elephant Prison Suppression Force,technique,superior,Hundred Beasts - Strength technique
鲲鹏宝术,鯤鵬寶術,Kunpeng Treasure Art,technique,superior,Hundred Beasts - Transformation art
虚空经,虛空經,Void Scripture,technique,superior,Water Mirror - Space manipulation
太上忘情录,太上忘情錄,Supreme Forgetfulness Record,technique,superior,Water Mirror - Emotional detachment
逍遥游,逍遙遊,Carefree Wandering,technique,superior,Water Mirror - Freedom technique
吞天魔功,吞天魔功,Heaven Devouring Demonic Art,technique,superior,Underworld King - Absorption technique
天魔策,天魔策,Heavenly Demon Strategy,technique,superior,Underworld King - Demonic technique
冥河真经,冥河真經,Styx River True Scripture,technique,superior,Underworld King - Blood technique
焚诀,焚訣,Burning Scripture,technique,superior,Crimson Hook - Fire absorption
道心种魔大法,道心種魔大法,Dao Heart Demon Planting Art,technique,superior,Crimson Hook - Mind control
大衍决,大衍決,Great Derivation Scripture,technique,superior,Crimson Hook - Puppet control
大乐赋,大樂賦,Great Bliss Rhapsody,technique,superior,Joy Union - Dual cultivation
天魔舞,天魔舞,Heavenly Demon Dance,technique,superior,Joy Union - Charm technique
凌波微步,凌波微步,Rippling Steps,technique,superior,Joy Union - Movement technique
过去弥陀经,過去彌陀經,Past Amitabha Sutra,technique,superior,Soul Suppression - Buddhist technique
神霄雷法,神霄雷法,Divine Firmament Thunder Method,technique,superior,Soul Suppression - Orthodox thunder
九字真言,九字真言,Nine Word Mantra,technique,superior,Soul Suppression - Daoist mantra
幽冥鬼爪,幽冥鬼爪,Netherworld Ghost Claw,technique,superior,Phantom Shadow - Assassination art
三千雷动,三千雷動,Three Thousand Thunders,technique,superior,Phantom Shadow - Speed technique
血神经,血神經,Blood Spirit Scripture,technique,superior,Phantom Shadow - Blood technique
神机百炼,神機百鍊,Divine Mechanism Hundred Refinements,technique,superior,Thousand Sails - Crafting technique
周天星斗大阵,周天星斗大陣,Cosmic Star Formation,technique,superior,Thousand Sails - Formation technique
纵地金光,縱地金光,Earth-Spanning Golden Light,technique,superior,Thousand Sails - Speed technique
剑,劍,Sword,weapon,type,
刀,刀,Saber,weapon,type,Also: Blade
枪,槍,Spear,weapon,type,
棍,棍,Staff,weapon,type,
扇,扇,Fan,weapon,type,
鞭,鞭,Whip,weapon,type,
琴,琴,Zither,weapon,type,Musical weapon
笛,笛,Flute,weapon,type,Musical weapon
暗器,暗器,Hidden Weapon,weapon,type,
青霜剑,青霜劍,Cyan Frost Sword,weapon,named,Sword - Foundation
井中月,井中月,Moon in the Well,weapon,named,Saber - Foundation
火尖枪,火尖槍,Flame Tip Spear,weapon,named,Spear - Foundation
囚龙棒,囚龍棒,Dragon Binding Staff,weapon,named,Staff - Foundation
桃花扇,桃花扇,Peach Blossom Fan,weapon,named,Fan - Foundation
打神鞭,打神鞭,God-Beating Whip,weapon,named,Whip - Foundation
天魔琴,天魔琴,Heavenly Demon Zither,weapon,named,Zither - Foundation
鬼笛陈情,鬼笛陳情,Ghost Flute Chenqing,weapon,named,Flute - Foundation
无影针,無影針,Shadowless Needle,weapon,named,Hidden - Foundation
万兽笛,萬獸笛,Myriad Beast Flute,weapon,named,Flute - Foundation
血饮狂刀,血飲狂刀,Blood-Drinking Mad Saber,weapon,named,Saber - Foundation
玄铁重剑,玄鐵重劍,Black Iron Heavy Sword,weapon,named,Sword - Foundation
紫薇软剑,紫薇軟劍,Purple Star Soft Sword,weapon,named,Sword - Foundation
水火囚龙棍,水火囚龍棍,Water-Fire Dragon Staff,weapon,named,Staff - Foundation
青竹蜂云剑,青竹蜂雲劍,Green Bamboo Bee Cloud Sword,weapon,named,Sword - Core
随心铁杆兵,隨心鐵桿兵,Compliant Golden-Hooped Rod,weapon,named,Staff - Core
五火七禽扇,五火七禽扇,Five Fire Seven Bird Fan,weapon,named,Fan - Core
斩仙飞刀,斬仙飛刀,Immortal-Slaying Flying Dagger,weapon,named,Hidden - Core
干将莫邪,干將莫邪,Ganjiang and Moye,weapon,named,Sword - Core
芭蕉扇,芭蕉扇,Banana Leaf Fan,weapon,named,Fan - Core
紫金降魔杵,紫金降魔杵,Purple-Gold Demon Subduing Pestle,weapon,named,Staff - Core
弑神枪,弒神槍,God-Slaying Spear,weapon,named,Spear - Nascent
赤锋矛,赤鋒矛,Crimson Edge Spear,weapon,named,Spear - Nascent
诛仙剑,誅仙劍,Immortal Execution Sword,weapon,named,Sword - Nascent
木灵甲,木靈甲,Wood Spirit Armor,auxiliary,,Foundation - Defense
血菩提,血菩提,Blood Bodhi,auxiliary,,Foundation - Healing
人参果(伪),人參果(偽),Pseudo Ginseng Fruit,auxiliary,,Foundation - Lifespan
万宝令,萬寶令,Myriad Treasures Token,auxiliary,,Foundation - Trading bonus
铁精,鐵精,Refined Iron Essence,auxiliary,,Foundation - Crafting material
源天神眼,源天神眼,Origin Heaven Divine Eye,auxiliary,,Foundation - Detection
踏云靴,踏雲靴,Cloud-Treading Boots,auxiliary,,Foundation - Movement
菩提子,菩提子,Bodhi Seed,auxiliary,,Foundation - Breakthrough bonus
金丝软甲,金絲軟甲,Golden Silk Soft Armor,auxiliary,,Foundation - Defense
寒玉床,寒玉床,Cold Jade Bed,auxiliary,,Foundation - Cultivation bonus
无相面具,無相面具,Formless Mask,auxiliary,,Foundation - Disguise
神风舟,神風舟,Divine Wind Boat,auxiliary,,Core - Flying vehicle
昆仑镜,崑崙鏡,Kunlun Mirror,auxiliary,,Core - Far-seeing
龙凤呈祥戒,龍鳳呈祥戒,Dragon-Phoenix Harmony Ring,auxiliary,,Core - Dual cultivation
隐形披风,隱形披風,Invisibility Cloak,auxiliary,,Core - Stealth
御兽环,御獸環,Beast Control Ring,auxiliary,,Core - Taming bonus
太虚甲,太虛甲,Supreme Void Armor,auxiliary,,Core - Defense
八卦炉,八卦爐,Eight Trigrams Furnace,auxiliary,,Core - Alchemy bonus
聚宝盆,聚寶盆,Treasure Gathering Basin,auxiliary,,Core - Wealth generation
天地烘炉,天地烘爐,Heaven-Earth Furnace,auxiliary,,Core - Crafting bonus
六道剑匣,六道劍匣,Six Paths Sword Case,auxiliary,,Core - Cultivation bonus
掌天瓶,掌天瓶,Heaven-Grasping Vial,auxiliary,,Nascent - Cultivation boost
传国玉玺,傳國玉璽,Imperial Jade Seal,auxiliary,,Nascent - Suppression bonus
灵眼之泉,靈眼之泉,Spirit Eye Spring,auxiliary,,Core - Cultivation area
万魂幡,萬魂幡,Myriad Soul Banner,auxiliary,,Nascent - Soul devouring
神木王鼎,神木王鼎,Divine Wood King Cauldron,auxiliary,,Nascent - Alchemy
破境丹,破境丹,Breakthrough Pill,elixir,type,For breaking through bottlenecks
延寿丹,延壽丹,Longevity Pill,elixir,type,Extends lifespan
长生丹,長生丹,Longevity Pill,elixir,type,Extends lifespan
